#Stamp(ns) Curvature[1/rad] . . Interval_between_points[m] . . Relative_angle[rad] . . Trajectory_length[m] . . Trajectory_duration[s] . . Trajectory_velocity[m/s] . . Trajectory_acceleration[m/s²] . . Trajectory_jerk[m/s³] . . Lateral_deviation[m] . . Yaw_deviation[rad] . . Velocity_deviation[m/s] . . Stability[m] . . StabilityFrechet[m] . . Obstacle_distance[m] . . Obstacle_time_to_collision[s] . . Modified_goal_longitudinal_deviation[m] . . Modified_goal_lateral_deviation[m] . . Modified_goal_yaw_deviation[rad] . .
#. min max mean min max mean min max mean min max mean min max mean min max mean min max mean min max mean min max mean min max mean min max mean min max mean min max mean min max mean min max mean min max mean min max mean min max mean
1728566062071878054 -0.018511 0.002093 0.000232 0.004742 1.000161 0.231655 -0.009256 0.001176 -0.000411 31.505088 31.505088 31.505088 16.027564 16.027564 16.027564 0.000000 4.170000 2.586253 -0.689842 0.985946 0.460261 -25.861757 1.483011 -10.256420 -0.004818 0.001400 -0.000085 -0.005824 0.007854 -0.000246 -8.333333 0.000000 -5.747080 None None None None None None 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 None None None None None None None None None None None None
1728566062174337817 -0.018511 0.002093 0.000232 0.004742 1.000161 0.231655 -0.009256 0.001176 -0.000411 31.505088 31.505088 31.505088 16.027564 16.027564 16.027564 0.000000 4.170000 2.586253 -0.689842 0.985946 0.460261 -25.861757 1.483011 -10.256420 -0.004818 0.001400 -0.000085 -0.005824 0.007854 -0.000246 -8.333333 0.000000 -5.747080 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 None None None None None None None None None None None None
1728566062273424954 -0.018511 0.002093 0.000232 0.004742 1.000161 0.231655 -0.009256 0.001176 -0.000411 31.505088 31.505088 31.505088 16.027564 16.027564 16.027564 0.000000 4.170000 2.586253 -0.689842 0.985946 0.460261 -25.861757 1.483011 -10.256420 -0.004818 0.001400 -0.000085 -0.005824 0.007854 -0.000246 -8.333333 0.000000 -5.747080 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 None None None None None None None None None None None None
1728566062372862290 -0.018511 0.002093 0.000232 0.004742 1.000161 0.231655 -0.009256 0.001176 -0.000411 31.505088 31.505088 31.505088 16.027564 16.027564 16.027564 0.000000 4.170000 2.586253 -0.689842 0.985946 0.460261 -25.861757 1.483011 -10.256420 -0.004818 0.001400 -0.000085 -0.005824 0.007854 -0.000246 -8.333333 0.000000 -5.747080 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 None None None None None None None None None None None None
1728566062473734189 -0.018511 0.002093 0.000232 0.004742 1.000161 0.231655 -0.009256 0.001176 -0.000411 31.505088 31.505088 31.505088 16.027564 16.027564 16.027564 0.000000 4.170000 2.586253 -0.689842 0.985946 0.460261 -25.861757 1.483011 -10.256420 -0.004818 0.001400 -0.000085 -0.005824 0.007854 -0.000246 -8.333333 0.000000 -5.747080 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 None None None None None None None None None None None None
1728566062573755550 -0.018511 0.002093 0.000232 0.004742 1.000161 0.231655 -0.009256 0.001176 -0.000411 31.505088 31.505088 31.505088 16.027564 16.027564 16.027564 0.000000 4.170000 2.586253 -0.689842 0.985946 0.460261 -25.861757 1.483011 -10.256420 -0.004818 0.001400 -0.000085 -0.005824 0.007854 -0.000246 -8.333333 0.000000 -5.747080 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 None None None None None None None None None None None None
1728566062672572247 -0.018511 0.002093 0.000232 0.004742 1.000161 0.231655 -0.009256 0.001176 -0.000411 31.505088 31.505088 31.505088 16.027564 16.027564 16.027564 0.000000 4.170000 2.586253 -0.689842 0.985946 0.460261 -25.861757 1.483011 -10.256420 -0.004818 0.001400 -0.000085 -0.005824 0.007854 -0.000246 -8.333333 0.000000 -5.747080 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 None None None None None None None None None None None None
1728566062775034812 -0.018511 0.002093 0.000232 0.004742 1.000161 0.231655 -0.009256 0.001176 -0.000411 31.505088 31.505088 31.505088 16.027564 16.027564 16.027564 0.000000 4.170000 2.586253 -0.689842 0.985946 0.460261 -25.861757 1.483011 -10.256420 -0.004818 0.001400 -0.000085 -0.005824 0.007854 -0.000246 -8.333333 0.000000 -5.747080 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 None None None None None None None None None None None None
1728566062775034812 -0.018511 0.002093 0.000232 0.004742 1.000161 0.231655 -0.009256 0.001176 -0.000411 31.505088 31.505088 31.505088 16.027564 16.027564 16.027564 0.000000 4.170000 2.586253 -0.689842 0.985946 0.460261 -25.861757 1.483011 -10.256420 -0.004818 0.001400 -0.000085 -0.005824 0.007854 -0.000246 -8.333333 0.000000 -5.747080 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 None None None None None None None None None None None None
1728566062972553677 -0.018511 0.002093 0.000232 0.004742 1.000161 0.231655 -0.009256 0.001176 -0.000411 31.505088 31.505088 31.505088 16.027564 16.027564 16.027564 0.000000 4.170000 2.586253 -0.689842 0.985946 0.460261 -25.861757 1.483011 -10.256420 -0.004818 0.001400 -0.000085 -0.005824 0.007854 -0.000246 -8.333333 0.000000 -5.747080 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 None None None None None None None None None None None None
